ID,H,e,a,Perigee,i,RAAN,arg_perig,Apogee,M,period [y],MOID,condition_code,SMASS taxonomy,Spin period,Satellites,PHA,delta_v_tot,period_sin,approaches,date_approach,is_NHATS,is_geometry,n_backup,familiar,delta_H
437844 (1999 MN),21.19,.665371065541791,.6740177806634,.2255458517492804,2.034916761639849,81.42175264741402,9.183367075148722,1.12248970957752,115.0196101163293,0.553369517699411,.00604256,0,,5.495,0,Y,2629.69006661799,1.23898735001026,2.0,2030-07-11,False,False,0.0,-,999.0
451157 (2009 SQ104),21.13,.279538799190478,1.284656528414189,.9255451850890787,4.017882987315604,56.51732333569768,95.67988711953623,1.6437678717393,352.48435305382,1.45609176142449,.0386824,0,,,0,Y,2256.714351984603,3.1925412484469065,1.0,2031-12-27,False,False,3.0,452807 (2006 KV89),0.39000000000000057
452334 (2001 LB),21.08,.1890622748728883,1.235961624853892,1.002287908403424,20.79943270614951,80.86906639626628,118.2484824982819,1.46963534130436,37.95938110964145,1.37409159205583,.0737286,0,,,0,N,1992.0000173090093,3.673142142822494,1.0,2034-06-06,False,False,1.0,(2023 KM5),0.04999999999999716
452807 (2006 KV89),21.52,.2726382196338656,1.149877054800768,.8363766217820539,3.554092725945519,71.69439307484524,87.81369679210879,1.463377487819482,19.64495737792613,1.23306313604574,.0142193,0,,,0,Y,2070.346207433061,5.290682846573144,1.0,2031-12-20,True,False,2.0,416283 (2003 MM),0.10000000000000142
455415 (2003 GA),21.45,.1913123705960939,1.281480099146133,1.036317103506769,3.84261998309019,192.8732197355195,66.87818440306836,1.526643094785497,260.4167385045113,1.45069462355074,.0618285,0,,5.78,0,N,1598.4922941595648,3.218797269249914,1.0,2032-06-28,False,False,3.0,(2006 YF),0.3999999999999986
456938 (2007 YV56),21.02,.6220907668933906,1.576386602024424,.5957310518505839,6.243364793644215,102.3617686594378,265.7507408890086,2.557042152198264,203.8412255935059,1.97925752542401,.00492162,0,,,0,Y,3203.314435564654,2.0211818383187907,1.0,2031-06-16,False,False,0.0,-,999.0
457662 (2009 DZ),22.00,.3020991911631431,1.453486854771849,1.014389651579013,14.11334383822132,151.4447917209097,335.8916102188579,1.892584057964686,349.32872278466,1.7523661880339,.0455815,0,,,0,Y,909.2380095649236,2.3291400064285477,1.0,2030-02-28,False,False,0.0,-,999.0
465824 (2010 FR),21.69,.365432010302231,1.131389495312066,.7179435576053513,14.24316261590464,167.2680251841904,272.7324938019183,1.544835433018781,98.39506213722095,1.20344546701084,.0051841,0,,,0,Y,1436.3579975110874,5.91532209929611,1.0,2032-09-19,False,False,2.0,(2019 QO6),0.6899999999999977
468468 (2004 KH17),21.98,.4982319272492418,.7121419476635371,.3573300926041043,22.12895401484971,79.12380242741976,340.7219190870237,1.06695380272297,176.078763514407,0.600977280671504,.00231287,0,,,0,Y,2332.07018383912,1.5061229638324145,1.0,2031-05-23,False,False,0.0,-,999.0
469445 (2002 LT24),22.13,.4958122357952095,.7200958575934038,.3630635204531494,.7660334493088022,165.6574911933899,283.0856990846475,1.077128194733658,17.11413341956719,0.611073810686685,.0112515,0,,,0,N,1504.3130272438516,1.5711819555417237,1.0,2032-07-12,False,False,2.0,(2022 JG2),0.08000000000000185
474238 (2001 RU17),21.51,.2406116275415814,.958434493041323,.7278240097786598,13.88715169944135,170.6538351429296,330.3707968948653,1.189044976303986,86.82342194701971,0.938321904914425,.108564,0,,,0,N,5514.006929420619,15.213211491252366,2.0,2031-09-05,False,False,0.0,-,999.0
475534 (2006 TS7),21.25,.5802576991787869,.9466865496976935,.3973643905266056,5.502084913905439,225.135678690988,300.0476346244371,1.496008708868781,111.8569071792496,0.921122758018213,.0152521,0,,,0,Y,5608.940500999931,11.677928067400018,1.0,2030-10-24,False,False,2.0,286080 (2001 TX1),0.010000000000001563
477465 (2009 XZ1),21.70,.5339087064234435,.8557081224546215,.398838105718841,8.160729955275555,81.97301365070412,153.0057199650064,1.312578139190402,149.5264524454921,0.791583410236309,.0424152,0,,,0,Y,4979.029900455607,3.79808253812151,2.0,2031-10-06,False,False,0.0,-,999.0
