+--------------+--------------------+----------------------------+-------------------+--------------------+-----------------+--------------------------------------------------------------------------------------+
|   Asteroid   | Accesibility [m/s] | Potential backup asteroids | Orbit Uncertainty | Synodic Period [y] | Spin Rate [rpm] |                                   Additional Info                                    |
|  (2024 UO5)  |       941.95       |            6.0             |         6         |        6.52        |       None      |                            ['Included in NHATS database']                            |
|  (2024 UV7)  |      1193.37       |            7.0             |         6         |        8.68        |       None      |                                          []                                          |
| (2024 UB11)  |      1815.86       |            3.0             |         6         |        2.84        |       None      |                                          []                                          |
|  (2024 VR4)  |       388.35       |            24.0            |         7         |       20.08        |       None      |                            ['Included in NHATS database']                            |
| (2024 WG12)  |       549.73       |            21.0            |         6         |       12.17        |       None      |                            ['Included in NHATS database']                            |
|  (2024 XF6)  |       592.35       |            10.0            |         6         |        5.42        |       None      |                            ['Included in NHATS database']                            |
|  (2024 YL)   |       338.87       |            21.0            |         6         |        9.21        |       None      |                            ['Included in NHATS database']                            |
|  (2024 YR6)  |       380.07       |            5.0             |         6         |       11.81        |       None      |                            ['Included in NHATS database']                            |
|  (2025 AC)   |      1297.84       |            11.0            |         4         |        4.14        |       None      |                            ['Included in NHATS database']                            |
|  (2025 BD1)  |       713.12       |            4.0             |         7         |        3.19        |       None      |                            ['Included in NHATS database']                            |
|  (2025 CF)   |      1447.35       |            3.0             |         6         |       13.31        |       None      |                                          []                                          |
+--------------+--------------------+----------------------------+-------------------+--------------------+-----------------+--------------------------------------------------------------------------------------+
