ID,H,e,a,Perigee,i,RAAN,arg_perig,Apogee,M,period [y],MOID,condition_code,SMASS taxonomy,Spin period,Satellites,PHA
(2015 XD261),22.45,.3228971590038855,1.759231040277956,1.191180335340754,19.06323556907785,257.4104451888915,162.7807610366756,2.327281745215157,289.772188800326,2.33341787851286,.214703,1,,,0,N
(2015 XK261),21.4,.5808425392135521,2.247534274835601,.9420707596706009,8.086911949153043,208.7285735091303,318.5424122429283,3.552997790000601,204.7454603774491,3.36951727609958,.0180138,5,,,0,Y
(2015 XO261),21.53,.3127265745027919,1.647063056031323,1.131982668528548,11.91829761632012,51.50543993028941,11.06190898439896,2.162143443534099,66.76549057638911,2.11384695772758,.146428,7,,,0,N
(2015 XP261),22.05,.3430175168025458,1.574714866598815,1.034560083386037,18.59452722775127,258.4584981872779,86.07326794205225,2.114869649811593,217.3382422802281,1.97610989888695,.2294,1,,,0,N
(2015 XW261),21.39,.4669881777086358,1.248655931145795,.6655483732749407,29.67549466990559,269.8899345659682,289.4720237730845,1.83176348901665,59.23574904791039,1.39531537223083,.115312,0,,19.67,0,N
(2015 XJ351),22.42,.4284335745367759,1.364015442141,.7796254305411702,19.36787091825912,254.9407298684097,76.81770962006421,1.948405453740829,253.1744487543997,1.59307833984665,.000810352,1,,,0,N
(2015 XA352),21.98,.1689648849109342,1.26934269524325,1.054868352828939,4.112543427751489,236.537992767591,15.43185204839873,1.483817037657561,249.1482770966978,1.43013335038898,.0456352,0,,,0,N
(2015 XF352),21.39,.4967343923804859,1.252714184266519,.6304479651184737,3.946619705012285,301.1921999714959,11.42614968189224,1.874980403414565,184.9798435730398,1.40212326216299,.0653161,0,,,0,N
(2015 XW377),21.8,.5862507056955398,2.537288121752481,1.049801169822178,12.58908337741063,143.0828613913267,10.1951100022855,4.024775073682784,51.3493115221355,4.04168890136797,.0674977,0,,,0,N
(2015 XB378),21.9,.594081719994547,2.434965877500606,.9883971608670147,9.886745447240168,50.7606134647594,39.46514580455908,3.881534594134197,112.8567802569784,3.799684363504,.0571639,5,,,0,N
(2015 XU378),21.4,.4858811583175433,1.97393546124349,1.014837412890429,23.74654278461292,89.66950759935607,3.233845938166379,2.93303350959655,64.91330925902662,2.77336880270255,.0322218,3,,3.021,0,Y
